143050082, 0, 0, 1, 6, 0, BC
143050080, 3, 0, 0, 24, 0, BC
143050081, 2, 0, 0, 6, 0, BB
143050086, 2, 0, 0, 12, 0, CC
143050087, 3, 0, 1, 7, 0, BC
143050084, 1, 0, 0, 10, 0, BC
143050085, 1, 0, 0, 3, 0, BC
143050088, 2, 0, 0, 12, 0, CC
143050089, 2, 0, 0, 21, 0, BB
143050071, 4, 0, 0, 4, 0, AA
143050009, 1, 0, 0, 3, 0, BB
120100006, 3, 0, 1, 7, 1, BC
143050002, 3, 0, 0, 5, 0, AA
143050003, 2, 0, 0, 5, 0, AB
143050001, 3, 0, 0, 7, 0, AA
143050006, 0, 0, 0, 3, 0, BB
143050007, 2, 0, 0, 8, 0, AA
143050005, 1, 0, 1, 5, 0, CC
120050064, 4, 0, 1, 12, 2, BC
12D170001, 6, 1, 2, 12, 2, AA
14307R031, 0, 0, 0, 9, 0, BB
143050039, 3, 0, 1, 12, 0, BC
14305R001, 3, 0, 0, 7, 0, AA
143050037, 4, 0, 1, 20, 0, BB
143050036, 3, 0, 0, 10, 0, BC
143050035, 4, 0, 0, 12, 0, CC
143050034, 3, 0, 0, 13, 0, AB
143050033, 3, 0, 0, 9, 0, BB
143050032, 3, 0, 1, 4, 0, AA
143050031, 1, 0, 0, 16, 0, AB
143050030, 2, 0, 0, 3, 0, BB
120050018, 7, 0, 0, 11, 1, FR
120050019, 7, 1, 1, 29, 1, AB
120040005, 3, 0, 1, 29, 4, AA
120020019, 6, 1, 1, 27, 5, AA
120050010, 4, 1, 1, 9, 2, BB
120110009, 6, 1, 0, 21, 4, AA
120050012, 7, 1, 0, 17, 1, CC
120050013, 3, 1, 1, 12, 3, AA
120050014, 6, 1, 0, 11, 3, AA
120050015, 1, 0, 1, 11, 1, AB
120050016, 4, 1, 2, 10, 2, CD
120050017, 2, 2, 1, 8, 0, BB
14305R008, 3, 0, 0, 4, 0, AB
13305R005, 0, 0, 0, 1, 0, AB
143050095, 2, 0, 0, 6, 0, BC
143050020, 2, 0, 0, 6, 0, AA
143050021, 2, 0, 0, 8, 0, BB
143050022, 1, 0, 0, 4, 0, AB
143050023, 1, 0, 1, 15, 0, BC
143050024, 2, 0, 0, 2, 0, BB
143050025, 3, 0, 2, 11, 0, BB
143050028, 1, 0, 0, 1, 0, BB
123079051, 0, 0, 0, 1, 0, DD
120050069, 0, 0, 0, 13, 1, BC
120050068, 0, 0, 0, 3, 1, CC
120050065, 1, 0, 2, 10, 2, FR
120050067, 1, 1, 3, 17, 3, AB
120050066, 5, 0, 0, 13, 2, CC
120050061, 9, 1, 0, 17, 4, BB
120050060, 1, 0, 1, 10, 4, AB
120050063, 1, 0, 1, 5, 0, BC
120050062, 4, 1, 0, 12, 2, CC
143053001, 5, 0, 0, 15, 0, CD
120050011, 3, 0, 0, 15, 1, BC
143050055, 1, 0, 0, 3, 0, CC
12D020007, 1, 0, 1, 16, 2, AA
143050051, 1, 0, 0, 10, 0, CC
143050050, 0, 0, 0, 14, 0, BC
143050053, 2, 0, 1, 19, 0, BC
143050052, 1, 0, 0, 1, 0, CC
120050058, 6, 1, 1, 17, 3, AB
143050059, 1, 0, 0, 5, 0, AA
120050078, 4, 0, 0, 20, 3, BC
120050079, 1, 0, 0, 5, 0, DD
120050076, 4, 0, 0, 9, 2, BC
120050077, 3, 0, 0, 11, 2, BB
120050072, 8, 0, 2, 18, 2, BC
120050073, 11, 1, 0, 24, 5, AB
120050070, 4, 0, 3, 22, 3, AB
120050071, 6, 1, 1, 13, 3, AA
120010010, 8, 1, 0, 17, 4, AB
143050096, 1, 0, 0, 2, 0, CC
143059009, 5, 0, 0, 9, 0, BC
143059008, 0, 0, 1, 14, 0, AB
14305R002, 0, 0, 0, 3, 0, BB
14305R003, 0, 0, 1, 6, 0, AA
14305R004, 2, 0, 0, 6, 0, BB
14305R005, 2, 0, 0, 8, 0, BC
14305R006, 0, 0, 2, 5, 0, BB
14305R007, 1, 0, 0, 13, 0, BB
143059001, 0, 0, 0, 1, 0, BB
14305R009, 1, 0, 0, 11, 0, BB
143059003, 2, 0, 0, 3, 0, AA
143059002, 1, 0, 0, 11, 0, AA
143059005, 1, 0, 0, 2, 0, BC
143059004, 0, 0, 1, 7, 0, AA
143059007, 0, 0, 0, 3, 0, BB
143059006, 6, 0, 1, 32, 0, AB
143050047, 1, 0, 1, 17, 0, BB
143050044, 0, 0, 1, 7, 0, BB
143050045, 4, 0, 0, 5, 0, AA
143050042, 2, 0, 3, 18, 0, BB
143050043, 2, 0, 0, 7, 0, BB
143050040, 1, 0, 0, 4, 0, AB
143050041, 1, 0, 0, 17, 0, CC
120050041, 1, 0, 0, 19, 2, AA
143050048, 3, 0, 0, 8, 0, BB
143050049, 1, 0, 1, 6, 0, AB
120050043, 4, 1, 0, 8, 1, AB
120050042, 2, 0, 0, 10, 2, BB
133050056, 1, 0, 0, 1, 0, DD
120050040, 1, 0, 1, 15, 1, FR
120050047, 4, 0, 1, 28, 3, BB
120050046, 1, 1, 0, 10, 2, AB
120050044, 2, 0, 0, 15, 4, BB
120050049, 2, 0, 1, 8, 0, DD
120050048, 1, 1, 0, 15, 2, BC
120050021, 2, 0, 0, 14, 3, AB
120050020, 10, 0, 0, 18, 2, CC
120050023, 10, 1, 0, 24, 4, AB
120050022, 0, 0, 0, 2, 1, BB
120050025, 4, 0, 0, 9, 2, CC
120050024, 6, 0, 6, 14, 1, CC
120050027, 9, 0, 1, 18, 1, FR
120050026, 2, 0, 0, 3, 1, FR
120050029, 3, 2, 2, 15, 2, AA
120050028, 7, 0, 1, 22, 1, BC
143050102, 2, 0, 0, 4, 0, FR
143050079, 2, 0, 0, 8, 0, AB
143050078, 1, 0, 1, 5, 0, FR
143050073, 1, 0, 0, 10, 0, BB
143050072, 1, 0, 0, 4, 0, BC
143050070, 2, 0, 0, 3, 0, CD
143050077, 3, 0, 1, 12, 0, BC
143050075, 2, 1, 0, 3, 0, CC
143050074, 2, 0, 1, 8, 0, CC
123079009, 2, 0, 0, 5, 0, AU
143050038, 2, 0, 0, 8, 0, BC
120050054, 7, 1, 1, 26, 4, BC
120050055, 3, 0, 0, 16, 3, AB
120050056, 1, 0, 1, 20, 0, DD
120050057, 5, 0, 1, 18, 2, AA
120050050, 7, 1, 0, 15, 2, AB
120050052, 2, 1, 1, 11, 1, AB
120050053, 6, 0, 0, 16, 4, BB
120050032, 4, 1, 0, 16, 3, AB
120050033, 2, 0, 1, 15, 5, BB
120050030, 2, 1, 0, 29, 3, AB
120050031, 3, 0, 1, 33, 3, AB
